"","sta.nm","Vehicle.types","hh","day","dur.v.use.sta","rank"
"186","강릉휴게소(강릉)","화물차","13시","토",0,446.5
"187","강릉휴게소(강릉)","화물차","14시","수",59.27,4038
"188","강릉휴게소(강릉)","화물차","14시","목",49.3185,3851
"189","강릉휴게소(강릉)","화물차","14시","토",100.050666666667,4271
"190","강릉휴게소(강릉)","화물차","15시","수",193.646666666667,4451
"191","강릉휴게소(강릉)","화물차","15시","목",7.17133333333333,800
"192","강릉휴게소(강릉)","화물차","15시","토",0,446.5
"193","강릉휴게소(강릉)","화물차","16시","수",0,301
"194","강릉휴게소(강릉)","화물차","16시","목",0,220
"195","강릉휴게소(강릉)","화물차","16시","토",0,446.5
"196","강릉휴게소(강릉)","화물차","17시","수",0,301
"197","강릉휴게소(강릉)","화물차","17시","목",110.7615,4362
"198","강릉휴게소(강릉)","화물차","17시","토",19.0725,2340
"199","강릉휴게소(강릉)","화물차","18시","수",34.744,3298
"200","강릉휴게소(강릉)","화물차","18시","목",0,220
"201","강릉휴게소(강릉)","화물차","18시","토",26.3941666666667,2903
"202","강릉휴게소(강릉)","화물차","19시","수",0,301
"203","강릉휴게소(강릉)","화물차","19시","목",3.5965,581
"204","강릉휴게소(강릉)","화물차","19시","토",0,446.5
"205","강릉휴게소(강릉)","화물차","20시","수",0,301
"206","강릉휴게소(강릉)","화물차","20시","목",0,220
"207","강릉휴게소(강릉)","화물차","20시","토",86.0605,4209
"208","강릉휴게소(강릉)","화물차","21시","수",0,301
"209","강릉휴게소(강릉)","화물차","21시","목",0,220
"210","강릉휴게소(강릉)","화물차","21시","토",6.20683333333333,1286
"211","강릉휴게소(강릉)","화물차","22시","수",0,301
"212","강릉휴게소(강릉)","화물차","22시","목",6.58583333333333,756
"213","강릉휴게소(강릉)","화물차","22시","토",0,446.5
"214","강릉휴게소(강릉)","화물차","23시","수",0,301
"215","강릉휴게소(강릉)","화물차","23시","목",0,220
"216","강릉휴게소(강릉)","화물차","23시","토",0,446.5
"217","강릉휴게소(인천)","승용차","0시","수",2.6,442
"218","강릉휴게소(인천)","승용차","0시","목",6.68283333333333,679
"219","강릉휴게소(인천)","승용차","0시","토",10.6533333333333,1048
"220","강릉휴게소(인천)","승용차","1시","수",7.56,956
"221","강릉휴게소(인천)","승용차","1시","목",5.53333333333333,561
"222","강릉휴게소(인천)","승용차","1시","토",11.2566666666667,1173
"223","강릉휴게소(인천)","승용차","2시","수",3.14,478
"224","강릉휴게소(인천)","승용차","2시","목",0.456666666666667,243
"225","강릉휴게소(인천)","승용차","2시","토",6.19,446
"226","강릉휴게소(인천)","승용차","3시","수",0.931333333333333,378
"227","강릉휴게소(인천)","승용차","3시","목",88.7146666666667,4403
"228","강릉휴게소(인천)","승용차","3시","토",2.66,199
"229","강릉휴게소(인천)","승용차","4시","수",5.16,663
"230","강릉휴게소(인천)","승용차","4시","목",22.248,3631
"231","강릉휴게소(인천)","승용차","4시","토",7.055,544
"232","강릉휴게소(인천)","승용차","5시","수",20.4266666666667,3424
"233","강릉휴게소(인천)","승용차","5시","목",1.23666666666667,271
"234","강릉휴게소(인천)","승용차","5시","토",2.01833333333333,184
"235","강릉휴게소(인천)","승용차","6시","수",4.88,637
"236","강릉휴게소(인천)","승용차","6시","목",3.71666666666667,398
"237","강릉휴게소(인천)","승용차","6시","토",8.25733333333333,685
"238","강릉휴게소(인천)","승용차","7시","수",16.7588333333333,2788
"239","강릉휴게소(인천)","승용차","7시","목",5.18066666666667,532
"240","강릉휴게소(인천)","승용차","7시","토",9.60383333333333,882
"241","강릉휴게소(인천)","승용차","8시","수",12.5096666666667,1819
"242","강릉휴게소(인천)","승용차","8시","목",13.1343333333333,1837
"243","강릉휴게소(인천)","승용차","8시","토",15.0893333333333,2178
"244","강릉휴게소(인천)","승용차","9시","수",20.793,3468
"245","강릉휴게소(인천)","승용차","9시","목",13.8268333333333,2018
"246","강릉휴게소(인천)","승용차","9시","토",14.6025,2036
"247","강릉휴게소(인천)","승용차","10시","수",15.3156666666667,2450
"248","강릉휴게소(인천)","승용차","10시","목",15.9045,2543
"249","강릉휴게소(인천)","승용차","10시","토",16.1718333333333,2502
"250","강릉휴게소(인천)","승용차","11시","수",13.725,2078
"251","강릉휴게소(인천)","승용차","11시","목",18.7101666666667,3135
"252","강릉휴게소(인천)","승용차","11시","토",22.166,3723
"253","강릉휴게소(인천)","승용차","12시","수",13.9043333333333,2122
"254","강릉휴게소(인천)","승용차","12시","목",17.0295,2810
"255","강릉휴게소(인천)","승용차","12시","토",18.1016666666667,3012.5
"256","강릉휴게소(인천)","승용차","13시","수",27.1801666666667,3993
"257","강릉휴게소(인천)","승용차","13시","목",24.777,3852
"258","강릉휴게소(인천)","승용차","13시","토",23.8265,3866
"259","강릉휴게소(인천)","승용차","14시","수",24.7841666666667,3857
"260","강릉휴게소(인천)","승용차","14시","목",28.305,4033
"261","강릉휴게소(인천)","승용차","14시","토",23.0438333333333,3807
"262","강릉휴게소(인천)","승용차","15시","수",15.4295,2476
"263","강릉휴게소(인천)","승용차","15시","목",15.5228333333333,2450
"264","강릉휴게소(인천)","승용차","15시","토",17.789,2929
"265","강릉휴게소(인천)","승용차","16시","수",18.9898333333333,3201
